,QN_NO,RELEVANT,NOT_RELEVANT,Actual_Output_Relevant,Predicted_Negative,Predicted_Positive
0,1,4,1,1,1,0
1,2,11,0,1,0,1
2,3,10,0,1,0,1
3,4,10,0,1,0,1
4,5,10,0,1,0,1
5,6,7,0,1,0,1
6,7,8,1,1,0,1
7,8,10,0,1,0,1
8,9,5,1,1,1,0
9,10,3,1,0,1,0
10,11,2,1,0,1,0
11,12,5,2,0,0,1
12,13,8,0,1,0,1
13,14,6,1,1,0,1
14,15,9,1,1,0,1
15,16,7,1,1,0,1
16,17,6,0,1,0,1
17,18,6,0,1,0,1
18,19,5,1,1,0,1
19,20,8,3,0,0,1
20,21,4,2,0,0,1
21,22,7,0,1,0,1
22,23,6,0,1,0,1
23,24,6,0,1,0,1
24,25,9,0,1,0,1
25,26,7,0,1,0,1
26,27,7,1,1,0,1
27,28,7,0,1,0,1
28,29,8,0,1,0,1
29,30,6,0,1,0,1
30,31,8,0,1,0,1
31,32,8,0,1,0,1
32,33,7,1,1,0,1
33,34,7,1,1,0,1
34,35,10,1,1,0,1
35,36,8,0,1,0,1
36,37,4,2,0,1,0
37,38,7,0,1,0,1
38,39,1,2,0,1,0
39,40,4,0,1,0,1
40,41,9,0,1,0,1
41,42,10,0,1,0,1
42,43,4,2,0,1,0
43,44,10,0,1,0,1
44,45,8,0,1,0,1
45,46,7,0,1,0,1
46,47,11,0,1,0,1
47,48,8,1,1,0,1
48,49,7,0,1,0,1
49,50,11,0,1,0,1
50,51,13,0,1,0,1
51,52,8,0,1,0,1
52,53,10,0,1,0,1
53,54,3,2,0,1,0
54,55,2,3,0,1,0
55,56,8,0,1,0,1
56,57,8,0,1,0,1
57,58,6,1,1,0,1
58,59,4,1,1,1,0
59,60,9,0,1,0,1
60,61,8,1,1,0,1
61,62,8,0,1,0,1
62,63,8,0,1,0,1
63,64,9,0,1,0,1
64,65,8,1,1,0,1
65,66,9,1,1,0,1
66,67,6,0,1,0,1
67,68,7,0,1,0,1
68,69,9,0,1,0,1
69,70,9,1,1,0,1
70,71,2,2,0,1,0
71,72,5,1,1,1,0
72,73,9,1,1,0,1
73,74,2,3,0,1,0
74,75,10,1,1,0,1
75,76,3,2,0,1,0
76,77,3,2,0,1,0
77,78,8,0,1,0,1
78,79,7,0,1,0,1
79,80,9,0,1,0,1
80,81,7,0,1,0,1
81,82,8,0,1,0,1
82,83,7,1,1,0,1
83,84,9,0,1,0,1
84,85,8,0,1,0,1
85,86,8,0,1,0,1
86,87,2,3,0,1,0
87,88,6,1,1,0,1
88,89,3,3,0,1,0
89,90,5,0,1,1,0
90,91,8,0,1,0,1
91,92,8,0,1,0,1
92,93,8,0,1,0,1
93,94,8,0,1,0,1
94,95,7,0,1,0,1
95,96,7,0,1,0,1
96,97,7,0,1,0,1
97,98,7,0,1,0,1
98,99,8,0,1,0,1
99,100,7,0,1,0,1
100,101,8,0,1,0,1
101,102,3,1,0,1,0
102,103,9,1,1,0,1
103,104,7,1,1,0,1
104,105,7,0,1,0,1
105,106,8,0,1,0,1
106,107,5,1,1,0,1
107,108,7,0,1,0,1
108,109,2,3,0,1,0
109,110,8,0,1,0,1
110,111,7,0,1,0,1
111,112,7,0,1,0,1
112,113,2,3,0,1,0
113,114,7,0,1,0,1
114,115,7,1,1,0,1
115,116,7,1,1,0,1
116,117,6,1,1,0,1
117,118,6,0,1,0,1
118,119,6,0,1,0,1
119,120,8,0,1,0,1
120,121,7,0,1,0,1
121,122,5,1,1,0,1
122,123,8,0,1,0,1
123,124,10,0,1,0,1
124,125,7,0,1,0,1
125,126,2,1,0,1,0
126,127,3,2,0,1,0
127,128,8,0,1,0,1
128,129,6,2,0,0,1
129,130,10,0,1,0,1
130,131,11,0,1,0,1
131,132,7,0,1,0,1
132,133,6,0,1,0,1
133,134,7,0,1,0,1
134,135,7,0,1,0,1
135,136,8,0,1,0,1
136,137,4,2,0,1,0
137,138,5,0,1,0,1
138,139,11,0,1,0,1
139,140,2,3,0,1,0
140,141,6,0,1,0,1
141,142,6,0,1,0,1
142,143,5,0,1,0,1
143,144,1,1,0,1,0
144,145,2,2,0,1,0
145,146,4,0,1,0,1
146,147,7,0,1,0,1
147,148,10,0,1,0,1
148,149,5,0,1,0,1
149,150,5,0,1,0,1
150,151,7,0,1,0,1
151,152,3,2,0,1,0
152,153,7,0,1,0,1
153,154,8,1,1,0,1
154,155,6,0,1,0,1
155,156,7,0,1,0,1
156,157,7,0,1,0,1
157,158,7,0,1,0,1
158,159,5,0,1,0,1
159,160,7,0,1,0,1
160,161,7,0,1,0,1
161,162,2,2,0,1,0
162,163,6,0,1,0,1
163,164,8,0,1,0,1
164,165,6,0,1,0,1
165,166,0,2,0,1,0
166,167,9,2,1,0,1
167,168,5,0,1,0,1
168,169,6,0,1,0,1
169,170,7,1,1,0,1
170,171,4,0,1,1,0
171,172,0,3,0,1,0
172,173,6,0,1,0,1
173,174,1,2,0,1,0
174,175,6,0,1,0,1
175,176,2,3,0,1,0
176,177,5,0,1,0,1
177,178,1,2,0,1,0
178,179,6,0,1,0,1
179,180,4,2,0,1,0
180,181,1,2,0,1,0
181,182,9,0,1,0,1
182,183,7,0,1,0,1
183,184,1,2,0,1,0
