,model_answer_score
0,60.0
1,92.5
2,92.5
3,92.5
4,92.5
5,92.5
6,92.5
7,92.5
8,92.5
9,92.5
10,85.0
11,85.0
12,92.5
13,92.5
14,92.5
15,92.5
16,92.5
17,92.5
18,85.0
19,85.0
20,92.5
21,92.5
22,92.5
23,92.5
24,92.5
25,92.5
26,92.5
27,92.5
28,92.5
29,92.5
30,92.5
31,92.5
32,92.5
33,92.5
34,92.5
35,92.5
36,60.0
37,92.5
38,85.0
39,92.5
40,92.5
41,92.5
42,85.0
43,92.5
44,92.5
45,92.5
46,92.5
47,92.5
48,92.5
49,92.5
50,92.5
51,92.5
52,92.5
53,85.0
54,85.0
55,92.5
56,92.5
57,92.5
58,85.0
59,92.5
60,92.5
61,92.5
62,92.5
63,92.5
64,92.5
65,92.5
66,92.5
67,92.5
68,92.5
69,92.5
70,85.0
71,85.0
72,92.5
73,85.0
74,92.5
75,85.0
76,85.0
77,92.5
78,92.5
79,92.5
80,92.5
81,92.5
82,92.5
83,92.5
84,92.5
85,92.5
86,85.0
87,92.5
88,85.0
89,85.0
90,92.5
91,92.5
92,92.5
93,92.5
94,92.5
95,92.5
96,92.5
97,92.5
98,92.5
99,92.5
100,92.5
101,85.0
102,92.5
103,92.5
104,92.5
105,92.5
106,92.5
107,92.5
108,85.0
109,92.5
110,92.5
111,92.5
112,85.0
113,92.5
114,92.5
115,92.5
116,92.5
117,92.5
118,92.5
119,92.5
120,92.5
121,92.5
122,92.5
123,92.5
124,92.5
125,85.0
126,85.0
127,92.5
128,92.5
129,92.5
130,92.5
131,92.5
132,92.5
133,92.5
134,92.5
135,92.5
136,85.0
137,92.5
138,92.5
139,85.0
140,92.5
141,92.5
142,92.5
143,85.0
144,85.0
145,92.5
146,92.5
147,92.5
148,92.5
149,92.5
150,92.5
151,85.0
152,92.5
153,92.5
154,92.5
155,92.5
156,92.5
157,92.5
158,92.5
159,92.5
160,92.5
161,85.0
162,92.5
163,92.5
164,92.5
165,85.0
166,92.5
167,92.5
168,92.5
169,92.5
170,85.0
171,85.0
172,92.5
173,85.0
174,92.5
175,85.0
176,92.5
177,85.0
178,92.5
179,85.0
180,85.0
181,92.5
182,92.5
183,85.0
